archivo,titulo,source,kind,bytes,chunks,estado,url_origen,notas
pdf/decreto_1076_2015.pdf,Decreto 1076 de 2015 - Decreto Unico Reglamentario Sector Ambiente,gobierno,norma,6879253,4899,ingerido,https://www.cancilleria.gov.co/sites/default/files/Normograma/docs/pdf/decreto_1076_2015.pdf,
pdf/ley-99-1993.pdf,Ley 99 de 1993 - Crea Ministerio de Ambiente y SINA,gobierno,norma,149593,326,ingerido,https://www.minambiente.gov.co/wp-content/uploads/2021/08/ley-99-1993.pdf,
pdf/Ley_1333_de_2009.pdf,Ley 1333 de 2009 - Regimen Sancionatorio Ambiental,gobierno,norma,137944,108,ingerido,https://vital-publico.minambiente.gov.co/assets/documents/NORMATIVIDAD%20AMBIENTAL/Ley_1333_de_2009.pdf,
pdf/resolucion-631-de-2015.pdf,Resolucion 631 de 2015 - Vertimientos (PDF oficial escaneado),gobierno,norma,10906874,0,pendiente-OCR (sin texto extraible),https://www.minambiente.gov.co/wp-content/uploads/2021/11/resolucion-631-de-2015.pdf,"62 pags escaneadas, 0 caracteres; usar version HTML con texto"
pdf/Resolucion-2254-de-2017.pdf,Resolucion 2254 de 2017 - Calidad del aire (PDF oficial escaneado),gobierno,norma,3400631,0,pendiente-OCR (sin texto extraible),https://www.minambiente.gov.co/wp-content/uploads/2021/10/Resolucion-2254-de-2017.pdf,"11 pags escaneadas, 0 caracteres; usar version HTML con texto"
pdf/Resolucion-0627-de-2006.pdf,Resolucion 627 de 2006 - Ruido y ruido ambiental,gobierno,norma,247483,145,ingerido,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Resolucion-0627-de-2006.pdf,
pdf/constitucion_politica.pdf,Constitucion Politica de Colombia 1991 - Derecho al ambiente sano,gobierno,norma,584427,664,ingerido,https://www.senado.gov.co/images/Archivospdf/elsenado/Normatividad/constitucion_politica.pdf,
pdf/NTC-ISO-14001-2015.pdf,NTC-ISO 14001 de 2015 - Sistemas de gestion ambiental,otro,norma,319055,257,ingerido,https://forpo.gov.co/wp-content/uploads/2026/01/NTC-ISO-14001-2015.pdf,
html/ley_1931_2018.htm,Ley 1931 de 2018 - Gestion del cambio climatico,gobierno,norma,136299,106,ingerido,https://cancilleria.gov.co/normograma/compilacion/docs/ley_1931_2018.htm,
html/ley_2169_2021.htm,Ley 2169 de 2021 - Carbono neutralidad y resiliencia climatica,gobierno,norma,179014,175,ingerido,https://cancilleria.gov.co/normograma/compilacion/docs/ley_2169_2021.htm,
html/ndc_minambiente.htm,NDC Colombia - Actualizacion MinAmbiente,gobierno,plan,244480,23,ingerido,https://www.minambiente.gov.co/cambio-climatico-y-gestion-del-riesgo/actualizacion-de-la-contribucion-determinada-a-nivel-nacional-ndc,
html/resolucion_631_2015.htm,Resolucion 631 de 2015 - Vertimientos (texto oficial Cancilleria),gobierno,norma,765428,346,ingerido,https://www.cancilleria.gov.co/sites/default/files/Normograma/docs/resolucion_minambienteds_0631_2015.htm,Reemplaza al PDF escaneado para el RAG
html/resolucion_2254_2017.htm,Resolucion 2254 de 2017 - Calidad del aire (texto oficial ICBF),gobierno,norma,118411,17,ingerido,https://www.icbf.gov.co/cargues/avance/compilacion/docs/resolucion_minambienteds_2254_2017.htm,Reemplaza al PDF escaneado para el RAG
NO-DESCARGADO/NDC_3.0_Colombia.pdf,NDC 3.0 Colombia (UNFCCC) - pendiente descarga manual,gobierno,plan,0,0,bloqueado-Incapsula (212 bytes HTML),https://unfccc.int/sites/default/files/2025-12/NDC%203.0%20Transformaciones%20para%20la%20Vida%20(Colombia).pdf,Descargar por navegador y subir via panel RAG
NO-DESCARGADO/Colombia_LTS1_E2050.pdf,E2050 Colombia LTS (UNFCCC) - pendiente descarga manual,gobierno,plan,0,0,bloqueado-Incapsula (212 bytes HTML),https://unfccc.int/sites/default/files/resource/Colombia_LTS1.pdf,Descargar por navegador y subir via panel RAG
